# Id,Predicted
0, 0.42
1, 0.28
2, 0.44
3, 0.25
4, 0.92
5, 0.43
6, 0.78
7, 0.26
8, 0.47
9, 0.55
10, 0.54
11, 0.60
12, 0.64
13, 0.49
14, 0.82
15, 0.97
16, 0.96
17, 0.58
18, 0.71
19, 0.25
20, 0.44
21, 0.83
22, 0.55
23, 0.41
24, 0.48
25, 0.31
26, 0.68
27, 0.48
28, 0.61
29, 0.58
30, 0.53
31, 0.40
32, 0.62
33, 0.31
34, 0.59
35, 0.27
36, 0.36
37, 0.46
38, 0.43
39, 0.76
40, 0.54
41, 0.31
42, 0.87
43, 0.26
44, 0.92
45, 0.31
46, 0.42
47, 0.16
48, 0.47
49, 0.46
50, 0.33
51, 0.49
52, 0.04
53, 0.22
54, 0.37
55, 0.52
56, 0.50
57, 0.28
58, 0.12
59, 0.57
60, 0.64
61, 0.48
62, 0.37
63, 0.92
64, 0.97
65, 0.47
66, 0.64
67, 0.25
68, 0.20
69, 0.60
70, 0.67
71, 0.97
72, 0.90
73, 0.43
74, 0.14
75, 0.70
76, 0.44
77, 0.27
78, 0.52
79, 0.25
80, 0.54
81, 0.34
82, 0.46
83, 0.95
84, 0.41
85, 0.70
86, 0.56
87, 0.55
88, 0.59
89, 0.98
90, 0.61
91, 0.98
92, 0.71
93, 0.38
94, 0.87
95, 0.50
96, 0.23
97, 0.34
98, 0.98
99, 0.43
100, 0.48
101, 0.51
102, 0.09
103, 0.69
104, 0.42
105, 0.49
106, 0.36
107, 0.48
108, 0.65
109, 0.61
110, 0.30
111, 0.54
112, 0.33
113, 0.57
114, 0.47
115, 0.34
116, 0.62
117, 0.59
118, 0.10
119, 0.25
120, 0.19
121, 0.88
122, 0.21
123, 0.43
124, 0.41
125, 0.09
126, 0.59
127, 0.72
128, 0.52
129, 0.18
130, 0.30
131, 0.87
132, 0.40
133, 0.30
134, 0.44
135, 0.64
136, 0.41
137, 0.31
138, 0.56
139, 0.73
140, 0.45
141, 0.49
142, 0.56
143, 0.83
144, 0.98
145, 0.68
146, 0.43
147, 0.36
148, 0.53
149, 0.28
150, 0.22
151, 0.96
152, 0.17
153, 0.35
154, 0.61
155, 0.56
156, 0.39
157, 0.46
158, 0.51
159, 0.32
160, 0.46
161, 0.64
162, 0.87
163, 0.40
164, 0.48
165, 0.57
166, 0.54
167, 0.29
168, 0.98
169, 0.49
170, 0.46
171, 0.55
172, 0.48
173, 0.40
174, 0.39
175, 0.67
176, 0.22
177, 0.27
178, 0.49
179, 0.54
180, 0.56
181, 0.46
182, 0.98
183, 0.55
184, 0.21
185, 0.60
186, 0.48
187, 0.57
188, 0.59
189, 0.59
190, 0.56
191, 0.47
192, 0.55
193, 0.52
194, 0.32
195, 0.08
196, 0.39
197, 0.56
198, 0.24
199, 0.12
200, 0.39
201, 0.33
202, 0.24
203, 0.31
204, 0.73
205, 0.39
206, 0.11
207, 0.61
208, 0.93
209, 0.45
210, 0.55
211, 0.55
212, 0.38
213, 0.58
214, 0.28
215, 0.58
216, 0.54
217, 0.53
218, 0.54
219, 0.41
220, 0.16
221, 0.58
222, 0.15
223, 0.18
224, 0.53
225, 0.42
226, 0.36
227, 0.88
228, 0.62
229, 0.37
230, 0.21
231, 0.12
232, 0.44
233, 0.22
234, 0.34
235, 0.24
236, 0.70
237, 0.37
238, 0.56
239, 0.35
240, 0.54
241, 0.39
242, 0.21
243, 0.09
