# Id,Predicted
0, 0.20
1, 0.34
2, 0.61
3, 0.22
4, 0.97
5, 0.25
6, 0.52
7, 0.50
8, 0.42
9, 0.57
10, 0.40
11, 0.71
12, 0.64
13, 0.54
14, 0.83
15, 0.97
16, 0.80
17, 0.59
18, 0.54
19, 0.21
20, 0.46
21, 0.84
22, 0.55
23, 0.48
24, 0.48
25, 0.52
26, 0.49
27, 0.52
28, 0.60
29, 0.34
30, 0.46
31, 0.30
32, 0.59
33, 0.24
34, 0.78
35, 0.35
36, 0.42
37, 0.39
38, 0.40
39, 0.93
40, 0.48
41, 0.36
42, 0.49
43, 0.47
44, 0.83
45, 0.49
46, 0.67
47, 0.15
48, 0.42
49, 0.47
50, 0.19
51, 0.18
52, 0.06
53, 0.36
54, 0.25
55, 0.43
56, 0.44
57, 0.34
58, 0.16
59, 0.41
60, 0.61
61, 0.39
62, 0.12
63, 0.93
64, 0.86
65, 0.58
66, 0.82
67, 0.33
68, 0.07
69, 0.44
70, 0.66
71, 0.99
72, 0.80
73, 0.41
74, 0.09
75, 0.59
76, 0.48
77, 0.49
78, 0.46
79, 0.24
80, 0.48
81, 0.60
82, 0.41
83, 0.91
84, 0.70
85, 0.79
86, 0.61
87, 0.45
88, 0.62
89, 0.99
90, 0.53
91, 0.94
92, 0.57
93, 0.53
94, 0.95
95, 0.31
96, 0.16
97, 0.37
98, 0.92
99, 0.27
100, 0.62
101, 0.50
102, 0.07
103, 0.74
104, 0.54
105, 0.41
106, 0.33
107, 0.31
108, 0.45
109, 0.70
110, 0.22
111, 0.55
112, 0.21
113, 0.72
114, 0.51
115, 0.42
116, 0.60
117, 0.55
118, 0.28
119, 0.55
120, 0.20
121, 0.77
122, 0.53
123, 0.34
124, 0.45
125, 0.03
126, 0.66
127, 0.71
128, 0.45
129, 0.47
130, 0.05
131, 0.93
132, 0.24
133, 0.45
134, 0.44
135, 0.52
136, 0.30
137, 0.24
138, 0.60
139, 0.71
140, 0.36
141, 0.40
142, 0.40
143, 0.99
144, 0.96
145, 0.50
146, 0.41
147, 0.39
148, 0.60
149, 0.16
150, 0.30
151, 0.98
152, 0.24
153, 0.38
154, 0.60
155, 0.57
156, 0.37
157, 0.68
158, 0.53
159, 0.35
160, 0.47
161, 0.56
162, 0.78
163, 0.20
164, 0.57
165, 0.76
166, 0.38
167, 0.43
168, 0.97
169, 0.49
170, 0.34
171, 0.47
172, 0.62
173, 0.47
174, 0.32
175, 0.69
176, 0.35
177, 0.05
178, 0.64
179, 0.44
180, 0.36
181, 0.50
182, 0.92
183, 0.41
184, 0.27
185, 0.69
186, 0.59
187, 0.44
188, 0.61
189, 0.49
190, 0.64
191, 0.49
192, 0.53
193, 0.37
194, 0.37
195, 0.10
196, 0.58
197, 0.48
198, 0.04
199, 0.05
200, 0.36
201, 0.42
202, 0.49
203, 0.40
204, 0.79
205, 0.26
206, 0.12
207, 0.48
208, 0.97
209, 0.55
210, 0.39
211, 0.56
212, 0.38
213, 0.46
214, 0.56
215, 0.46
216, 0.63
217, 0.57
218, 0.43
219, 0.08
220, 0.12
221, 0.40
222, 0.05
223, 0.18
224, 0.35
225, 0.52
226, 0.34
227, 0.83
228, 0.55
229, 0.38
230, 0.09
231, 0.23
232, 0.44
233, 0.45
234, 0.24
235, 0.18
236, 0.42
237, 0.29
238, 0.53
239, 0.28
240, 0.48
241, 0.59
242, 0.24
243, 0.17
244, 0.52
245, 0.38
246, 0.66
247, 0.76
248, 0.42
249, 0.13
250, 0.99
251, 0.32
252, 0.44
253, 0.17
254, 0.45
255, 0.62
256, 0.56
257, 0.43
258, 0.57
259, 0.38
260, 0.07
261, 0.17
262, 0.06
263, 0.96
264, 0.45
265, 0.74
266, 0.33
267, 0.65
268, 0.45
269, 0.68
270, 0.59
271, 0.41
272, 0.58
273, 0.53
274, 0.57
275, 0.60
276, 0.45
277, 0.12
278, 0.63
279, 0.28
280, 0.98
281, 0.67
282, 0.98
